layer,st_area_sh,st_perimet,geometry
Flood Zone 2,271.941365968,80.6029951274,"POLYGON ((-2.214046 53.43774, -2.214076 53.43774, -2.214076 53.43772, -2.214106 53.43772, -2.214106 53.43771, -2.214136 53.43771, -2.214136 53.43769, -2.214226 53.43769, -2.214226 53.43767, -2.214317 53.43767, -2.214317 53.43766, -2.214439 53.43764, -2.214454 53.43775, -2.214048 53.43779, -2.214046 53.43778, -2.214046 53.43774))"
Flood Zone 2,11.3002553632,15.5767150243,"POLYGON ((-2.25275 53.49688, -2.252753 53.49688, -2.252753 53.49687, -2.252783 53.49687, -2.252783 53.49688, -2.252813 53.49688, -2.252813 53.4969, -2.252766 53.4969, -2.25275 53.49688))"
Flood Zone 2,3.86424934688e-4,0.101113164259,"POLYGON ((-2.252783 53.49692, -2.252783 53.49692, -2.252783 53.49692, -2.252783 53.49692))"
Flood Zone 2,0.802640354969,4.60901737612,"POLYGON ((-2.252813 53.49694, -2.252814 53.49695, -2.252799 53.49694, -2.252813 53.49694))"
Flood Zone 2,0.532528034088,3.75420656913,"POLYGON ((-2.252844 53.49697, -2.252844 53.49699, -2.252832 53.49697, -2.252844 53.49697))"
Flood Zone 2,313.621176724,465.086625784,"POLYGON ((-2.274026 53.39117, -2.274032 53.39122, -2.274035 53.39126, -2.274032 53.39133, -2.27403 53.39137, -2.274019 53.39142, -2.274004 53.39146, -2.273994 53.39148, -2.273979 53.39151, -2.273947 53.39154, -2.273916 53.39157, -2.273887 53.39161, -2.273882 53.39164, -2.273876 53.39166, -2.273858 53.39169, -2.273836 53.39172, -2.273813 53.39176, -2.273797 53.39178, -2.273761 53.3918, -2.273753 53.3918, -2.273744 53.39181, -2.273736 53.39182, -2.273733 53.39183, -2.273728 53.39185, -2.273728 53.39186, -2.273724 53.39188, -2.273713 53.3919, -2.273692 53.39193, -2.273664 53.39195, -2.273613 53.392, -2.273574 53.39204, -2.273553 53.39205, -2.273549 53.39206, -2.273538 53.39207, -2.273525 53.3921, -2.273516 53.39211, -2.273488 53.39214, -2.273429 53.39224, -2.273411 53.39228, -2.273399 53.3923, -2.27337 53.39233, -2.273347 53.39236, -2.273318 53.3924, -2.273306 53.39242, -2.273292 53.39244, -2.273283 53.39245, -2.273271 53.39246, -2.273258 53.39246, -2.273234 53.39249, -2.273216 53.39251, -2.273213 53.39252, -2.273213 53.39252, -2.273187 53.39257, -2.273177 53.39259, -2.273171 53.3926, -2.273142 53.39267, -2.273124 53.39269, -2.273104 53.3927, -2.273082 53.39271, -2.27306 53.39274, -2.273055 53.39274, -2.273048 53.39275, -2.273039 53.39276, -2.273037 53.39276, -2.27303 53.39277, -2.27303 53.39279, -2.27302 53.3928, -2.272976 53.39285, -2.272947 53.39289, -2.272917 53.39292, -2.272892 53.39295, -2.272867 53.39299, -2.272853 53.39301, -2.272843 53.39302, -2.272811 53.39304, -2.272772 53.39307, -2.272763 53.39307, -2.272757 53.39306, -2.272795 53.39304, -2.272822 53.39302, -2.272842 53.393, -2.272867 53.39296, -2.272903 53.39291, -2.272931 53.39288, -2.272964 53.39284, -2.273001 53.3928, -2.273016 53.39278, -2.27302 53.39276, -2.27303 53.39274, -2.273039 53.39274, -2.273057 53.39272, -2.273069 53.3927, -2.273108 53.39267, -2.273134 53.39263, -2.273165 53.39258, -2.273193 53.39252, -2.273208 53.3925, -2.273213 53.39249, -2.27324 53.39246, -2.273269 53.39243, -2.273286 53.39242, -2.273302 53.39239, -2.273324 53.39236, -2.273357 53.39233, -2.27338 53.3923, -2.273396 53.39228, -2.273407 53.39225, -2.273432 53.39221, -2.273464 53.39216, -2.273479 53.39214, -2.273489 53.39213, -2.273503 53.39211, -2.273512 53.39208, -2.273526 53.39206, -2.273533 53.39205, -2.273551 53.39203, -2.273597 53.392, -2.273629 53.39196, -2.273662 53.39193, -2.273688 53.3919, -2.273706 53.39186, -2.273701 53.39183, -2.273703 53.39181, -2.273703 53.39181, -2.273721 53.3918, -2.273749 53.39178, -2.273777 53.39177, -2.273805 53.39174, -2.27382 53.39171, -2.273865 53.39164, -2.273868 53.39162, -2.273867 53.39161, -2.273872 53.3916, -2.273873 53.39159, -2.273875 53.39159, -2.273888 53.39157, -2.273909 53.39156, -2.273926 53.39154, -2.273938 53.39152, -2.273953 53.3915, -2.273971 53.39148, -2.273983 53.39146, -2.273993 53.39144, -2.274002 53.3914, -2.274008 53.39137, -2.27401 53.39134, -2.27401 53.39126, -2.274009 53.39123, -2.274005 53.3912, -2.274002 53.39118, -2.274002 53.39118, -2.274009 53.39118, -2.274026 53.39117))"
Flood Zone 2,899.899999946,160,"POLYGON ((-2.254317 53.39306, -2.254467 53.39306, -2.254467 53.39302, -2.254542 53.39302, -2.254542 53.39293, -2.254617 53.39293, -2.254617 53.39288, -2.254842 53.39288, -2.254843 53.39293, -2.254918 53.39293, -2.254918 53.39302, -2.254919 53.39306, -2.254843 53.39306, -2.254844 53.39315, -2.254769 53.39315, -2.254768 53.39311, -2.254693 53.39311, -2.254694 53.39315, -2.254618 53.39315, -2.254619 53.3932, -2.254318 53.3932, -2.254317 53.39306))"
Flood Zone 2,2083.48673791,252.010780105,"POLYGON ((-2.254914 53.38153, -2.254877 53.38151, -2.254881 53.38151, -2.254899 53.38152, -2.254904 53.38152, -2.254965 53.38153, -2.255061 53.38153, -2.255134 53.38152, -2.255191 53.38151, -2.25523 53.38152, -2.255281 53.38152, -2.255307 53.38153, -2.25532 53.38153, -2.255384 53.38154, -2.255438 53.38155, -2.25552 53.38156, -2.255557 53.38158, -2.255586 53.3816, -2.255633 53.38162, -2.25567 53.38164, -2.255718 53.38167, -2.255756 53.38169, -2.255805 53.38171, -2.255848 53.38174, -2.255867 53.38176, -2.25591 53.38182, -2.255937 53.38185, -2.255937 53.38185, -2.255938 53.38185, -2.255951 53.38188, -2.255982 53.38193, -2.255997 53.38196, -2.256002 53.38197, -2.256013 53.38201, -2.256023 53.38206, -2.256023 53.38206, -2.256023 53.38206, -2.256006 53.38209, -2.255993 53.38212, -2.25599 53.38213, -2.255982 53.38217, -2.255965 53.3822, -2.25595 53.38222, -2.255901 53.38225, -2.255857 53.38225, -2.255807 53.38226, -2.255801 53.38224, -2.255797 53.38221, -2.255784 53.38217, -2.255749 53.38212, -2.255697 53.38206, -2.255644 53.38203, -2.255594 53.38199, -2.255539 53.38195, -2.25547 53.38191, -2.255444 53.38187, -2.255399 53.38183, -2.255377 53.38179, -2.255354 53.38176, -2.255312 53.38172, -2.255284 53.38167, -2.255269 53.38164, -2.255244 53.3816, -2.2552 53.38157, -2.25518 53.38157, -2.255155 53.38156, -2.255104 53.38155, -2.255103 53.38155, -2.255019 53.38155, -2.254949 53.38154, -2.254914 53.38153))"
Flood Zone 2,168.326000022,119.138552552,"POLYGON ((-2.252874 53.49699, -2.252874 53.49701, -2.252904 53.49701, -2.252905 53.49704, -2.252935 53.49704, -2.252935 53.49706, -2.252965 53.49706, -2.252965 53.49708, -2.252995 53.49708, -2.252995 53.49712, -2.253026 53.49712, -2.253026 53.49713, -2.253056 53.49713, -2.253056 53.49715, -2.253086 53.49715, -2.253086 53.49717, -2.253116 53.49717, -2.253117 53.49721, -2.253147 53.49721, -2.253147 53.49722, -2.253177 53.49722, -2.253177 53.49724, -2.253207 53.49724, -2.253207 53.49728, -2.253238 53.49728, -2.253238 53.4973, -2.253177 53.4973, -2.253177 53.49731, -2.253208 53.49731, -2.253208 53.49735, -2.253179 53.49735, -2.252849 53.49699, -2.252874 53.49699))"
Flood Zone 2,0.673699441576,4.2226182928,"POLYGON ((-2.253208 53.49737, -2.253208 53.49738, -2.253195 53.49737, -2.253208 53.49737))"
Flood Zone 2,2657.862394,360.753254244,"POLYGON ((-2.257119 53.38498, -2.257096 53.38507, -2.257087 53.38511, -2.257083 53.38515, -2.257094 53.3852, -2.257124 53.3853, -2.257135 53.38538, -2.257135 53.38538, -2.257135 53.38538, -2.257123 53.38544, -2.257115 53.38551, -2.257115 53.38551, -2.257108 53.38552, -2.257093 53.38555, -2.257083 53.38557, -2.257073 53.38564, -2.257073 53.38564, -2.257102 53.38575, -2.257103 53.38575, -2.257217 53.38585, -2.257241 53.38586, -2.257247 53.38586, -2.257257 53.38587, -2.257278 53.38588, -2.257322 53.38588, -2.257437 53.38588, -2.257457 53.38589, -2.257576 53.38589, -2.257701 53.38593, -2.25783 53.38599, -2.257911 53.38605, -2.257966 53.3861, -2.258007 53.38616, -2.258013 53.38617, -2.258015 53.38618, -2.258015 53.38618, -2.258 53.38618, -2.257949 53.38619, -2.257859 53.38621, -2.257571 53.38615, -2.257298 53.38603, -2.257191 53.38599, -2.257148 53.38596, -2.257082 53.3859, -2.257038 53.38586, -2.257002 53.38583, -2.256991 53.38582, -2.256957 53.38581, -2.256912 53.38581, -2.256858 53.38578, -2.256827 53.38576, -2.256821 53.38573, -2.256819 53.38569, -2.256818 53.38564, -2.256813 53.3856, -2.256817 53.38554, -2.256818 53.38548, -2.256844 53.38543, -2.256849 53.38538, -2.256849 53.38538, -2.256854 53.38537, -2.256869 53.38534, -2.256879 53.38531, -2.256888 53.38527, -2.256908 53.38523, -2.256932 53.38521, -2.256955 53.38517, -2.256956 53.38517, -2.256976 53.38514, -2.256981 53.38513, -2.256999 53.3851, -2.257008 53.38509, -2.257023 53.38505, -2.257027 53.38505, -2.257033 53.38504, -2.257036 53.38502, -2.257039 53.385, -2.257119 53.38498))"
Flood Zone 2,608.702710019,473.127989507,"POLYGON ((-2.272105 53.39331, -2.272145 53.3933, -2.272154 53.3933, -2.272171 53.39331, -2.272204 53.39332, -2.272225 53.39332, -2.272273 53.39334, -2.272283 53.39334, -2.272301 53.39334, -2.272324 53.39333, -2.272347 53.39331, -2.272362 53.3933, -2.272366 53.39328, -2.272361 53.39326, -2.272348 53.39324, -2.272323 53.39322, -2.272311 53.3932, -2.27231 53.39319, -2.272334 53.39317, -2.272368 53.39316, -2.272403 53.39316, -2.272502 53.39317, -2.272509 53.39317, -2.272523 53.39317, -2.272544 53.39317, -2.272568 53.39316, -2.272591 53.39315, -2.272622 53.39314, -2.272659 53.39313, -2.272691 53.39311, -2.272716 53.3931, -2.272717 53.3931, -2.272717 53.3931, -2.272731 53.39311, -2.27273 53.39311, -2.272731 53.39311, -2.272681 53.39313, -2.272647 53.39315, -2.272616 53.39316, -2.27259 53.39317, -2.272568 53.39317, -2.272523 53.39318, -2.272469 53.39318, -2.272454 53.39318, -2.272428 53.39318, -2.27238 53.39318, -2.272354 53.39318, -2.272337 53.39319, -2.272342 53.39321, -2.272358 53.39322, -2.272376 53.39324, -2.272393 53.39326, -2.272404 53.39328, -2.272404 53.39328, -2.272404 53.39328, -2.272401 53.3933, -2.272378 53.39332, -2.272363 53.39333, -2.272342 53.39334, -2.272316 53.39335, -2.272288 53.39336, -2.27226 53.39336, -2.272223 53.39334, -2.27219 53.39333, -2.272169 53.39332, -2.272124 53.39334, -2.272104 53.39336, -2.272099 53.39338, -2.272109 53.39341, -2.272114 53.39344, -2.272114 53.39344, -2.272114 53.39344, -2.272099 53.39345, -2.272085 53.39346, -2.272052 53.39348, -2.272022 53.3935, -2.271993 53.39353, -2.271991 53.39353, -2.271965 53.39358, -2.271945 53.39362, -2.271922 53.39365, -2.271905 53.3937, -2.271885 53.39373, -2.271852 53.39376, -2.271817 53.3938, -2.271811 53.39381, -2.271763 53.39384, -2.27172 53.39387, -2.271685 53.3939, -2.271624 53.39393, -2.271615 53.39393, -2.271581 53.39394, -2.271542 53.39395, -2.2715 53.39396, -2.271497 53.39396, -2.271449 53.39397, -2.271407 53.394, -2.271376 53.39402, -2.271343 53.39405, -2.271299 53.39408, -2.271293 53.39409, -2.271271 53.39411, -2.271234 53.39416, -2.271185 53.39421, -2.27115 53.39426, -2.271093 53.39431, -2.271048 53.39435, -2.271007 53.39439, -2.270964 53.39443, -2.270914 53.39447, -2.270869 53.3945, -2.27083 53.39453, -2.270808 53.39454, -2.270788 53.39455, -2.27078 53.39456, -2.270746 53.39455, -2.270746 53.39455, -2.270746 53.39455, -2.270814 53.3945, -2.270852 53.39447, -2.270899 53.39442, -2.270954 53.39437, -2.270986 53.39435, -2.271012 53.39433, -2.271076 53.39427, -2.271132 53.39423, -2.271169 53.39418, -2.271203 53.39415, -2.271218 53.39412, -2.27124 53.39409, -2.271283 53.39404, -2.271353 53.394, -2.271394 53.39396, -2.271433 53.39395, -2.271498 53.39394, -2.271544 53.39392, -2.271557 53.39392, -2.271572 53.39392, -2.27159 53.39391, -2.271629 53.39388, -2.271688 53.39386, -2.271743 53.39382, -2.271762 53.3938, -2.271794 53.39377, -2.271802 53.39374, -2.271844 53.39372, -2.271892 53.39367, -2.271914 53.39365, -2.27192 53.39362, -2.27192 53.39359, -2.271934 53.39356, -2.271939 53.39353, -2.271952 53.3935, -2.271984 53.39347, -2.272015 53.39345, -2.272055 53.39343, -2.272076 53.39343, -2.272075 53.39341, -2.272064 53.39339, -2.272061 53.39337, -2.272063 53.39335, -2.272072 53.39333, -2.272105 53.39331))"
